substrate,tf
BDH1,ABF1
BDH1,BAS1
BDH1,MSN2
BDH2,ABF1
BDH2,MET32
BDH2,MSN2
BDH2,PDR1
BDH2,PDR3
BDH2,SOK2
BDH2,STE12
BDS1,HCM1
BDS1,MET32
BDS1,MET4
BEM2,LEU3
BEM2,STE12
BEM2,SWI5
BEM2,TEC1
BEM4,CIN5
BER1,SKO1
BIO2,SOK2
BIR1,ABF1
BLI1,IXR1
BMH1,ACE2
BMH1,GCR1
BMH1,STB5
BMH2,RAP1
BNA1,GCN4
BNA1,RAP1
BNA1,STE12
BNA1,SUM1
BNA1,TEC1
BNA2,ABF1
BNA2,FHL1
BNA2,HAP3
BNA2,MSN2
BNA2,SUM1
BNA3,CBF1
BNA3,FLO8
BNA3,MCM1
BNA3,MET31
BNA3,MET32
BNA4,YHP1
BNA5,ABF1
BNA5,RAP1
BNR1,STE12
BNS1,CIN5
BNS1,STE12
BNS1,TEC1
BOI1,STE12
BOS1,YRM1
BPH1,YOX1
BPT1,TEC1
BRX1,ABF1
BRX1,DAL82
BSC2,HSF1
BSC2,RAP1
BSC6,RAP1
BSP1,PDR1
BUB2,FHL1
BUB3,HSF1
BUD19,STE12
BUD20,MSN2
BUD20,RAP1
BUD20,YAP1
BUD20,YOX1
BUD21,ABF1
BUD21,DAL82
BUD22,RAP1
BUD26,STE12
BUD27,ABF1
BUD27,PDR1
BUD27,RAP1
BUD27,REB1
BUD27,STB5
BUD3,YAP1
BUD4,ASH1
BUD4,STE12
BUD7,CBF1
BUD7,TEC1
BUD9,ACE2
BUD9,FKH1
BUD9,MBP1
BUD9,MCM1
BUD9,SOK2
BUD9,STE12
BUD9,SWI4
BUR6,MCM1
BUR6,MSN2
BUR6,YOX1
BYE1,ABF1
CAB2,MSN2
CAB4,STB1
CAF120,RAP1
CAF120,STE12
CAF16,GCN4
CAF16,MCM1
CAF20,SKN7
CAF40,RAP1
CAF40,STE12
CAJ1,CIN5
CAM1,PHD1
CAN1,GCN4
CAP1,MSS11
CAP1,PDR3
CAP1,SKO1
CAR1,ABF1
CAR1,ARG81
CAR1,GCN4
CAR1,GLN3
CAR1,MCM1
CAR1,MSN2
CAR1,RAP1
CAR1,SWI4
CAR2,ADR1
CAR2,ARG81
CAR2,DAL82
CAR2,MCM1
CAR2,RAP1
CAR2,UME6
CAT2,ADR1
CAT2,BAS1
CAT2,UME6
CBF1,PHO4
CBF2,CIN5
CBF2,STE12
CBP3,MSN2
CBP3,SKO1
CCA1,STE12
CCC2,AFT1
CCC2,AFT2
CCC2,RPN4
CCE1,DAL81
CCH1,RAP1
CCH1,STE12
CCL1,STE12
CCM1,FHL1
CCP1,CIN5
CCP1,MSN2
CCP1,SKN7
CCP1,YAP1
CCS1,CBF1
CCS1,MSN2
CCS1,YAP1
CCT4,HIR2
CCW12,FLO8
CCW12,RAP1
CCW12,SOK2
CCW12,STE12
CCW12,TEC1
CCW12,YAP1
CCW12,YRM1
CCW14,ABF1
CCW14,RAP1
CCW14,RLM1
CCW14,YRM1
CDC14,STE12
CDC16,ABF1
CDC16,STE12
CDC19,ABF1
CDC19,GCR1
CDC19,GCR2
CDC19,MSN2
CDC19,RAP1
CDC19,ROX1
CDC19,TYE7
CDC20,ABF1
CDC20,BAS1
CDC20,PDR1
CDC20,STE12
CDC20,YOX1
CDC21,MBP1
CDC21,SWI4
CDC24,STE12
CDC24,TEC1
CDC26,ACE2
CDC26,MSN2
CDC3,YRM1
CDC34,ASH1
CDC34,MSN2
CDC34,STE12
CDC39,RPN4
CDC42,ABF1
CDC45,MBP1
CDC45,SWI6
CDC48,MSN2
CDC48,RAP1
CDC5,CBF1
CDC5,MCM1
CDC5,YOX1
CDC53,MSN2
CDC6,GCR2
CDC6,MBP1
CDC6,MCM1
CDC6,MSN2
CDC6,SWI4
CDC6,SWI5
CDC6,TEC1
CDC60,SOK2
CDC60,UME6
CDC7,ABF1
CDS1,ABF1
CDS1,INO4
CEM1,BAS1
CEM1,YAP1
CEX1,RAP1
CFD1,ABF1
CFD1,BAS1
CFD1,SFP1
CFT1,RAP1
CFT1,STE12
CHA1,ABF1
CHA1,CHA4
CHA1,PHO4
CHA1,STE12
CHC1,MSN2
CHO1,INO4
CHO2,ABF1
CHO2,HSF1
CHO2,MSN2
CHO2,RAP1
CHS1,MSN2
CHS1,SOK2
CHS1,SWI4
CHS1,SWI5
CHS2,FKH2
CHS3,STE12
CHS5,ABF1
CHS7,MBP1
CHS7,RAP1
CHS7,STE12
CHS7,TEC1
CIC1,PHO4
CIK1,ABF1
CIK1,CBF1
CIK1,STE12
CIN1,SKN7
CIN1,STE12
CIN1,TEC1
CIN2,MBP1
CIN2,STE12
CIN4,GCN4
CIN5,FLO8
CIN5,MSN2
CIN5,SOK2
CIN5,STE12
CIN5,YAP1
CIN5,YAP6
CIN8,HCM1
CIS3,CBF1
CIS3,MCM1
CIS3,PHD1
CIS3,PHO4
CIS3,RAP1
CIS3,REB1
CIS3,RLM1
CIS3,SKN7
CIS3,SWI4
CIS3,SWI6
CIS3,TEC1
CIT1,CBF1
CIT1,HAP2
CIT1,HAP3
CIT1,MSN2
CIT1,RTG3
CIT2,MSN2
CIT2,RPN4
CKI1,INO4
CKS1,GCR2
CKS1,MSN2
CLA4,STE12
CLA4,TEC1
CLA4,YRM1
CLB1,MCM1
CLB1,MSN2
CLB1,RAP1
CLB1,STE12
CLB1,SWI4
CLB1,YAP1
CLB1,YHP1
CLB3,DAL82
CLB3,YRM1
CLB5,MBP1
CLB5,SWI4
CLB5,SWI6
CLN1,FLO8
CLN1,RAP1
CLN1,SKN7
CLN1,SOK2
CLN1,STE12
CLN1,SWI4
CLN1,TEC1
CLN2,SKN7
CLN2,STE12
CLN2,SWI4
CLN2,YOX1
CLN3,MCM1
CLN3,RAP1
CLN3,STE12
CLN3,SWI4
CMD1,CST6
CMD1,RPN4
CMK2,OAF1
CMK2,YAP1
CMS1,RAP1
COA4,STE12
COG2,STE12
COG3,STE12
COG7,INO4
COQ2,HAP1
COQ6,MSN2
COR1,GCN4
COR1,MSN2
COR1,SOK2
COR1,YAP1
COS12,RAP1
COS12,STE12
COS6,ABF1
COS6,FLO8
COS6,PDR1
COS6,RAP1
COS6,SWI4
COS6,ZAP1
COS8,RAP1
COS8,STE12
COS8,SWI4
COT1,AFT1
COT1,AFT2
COT1,MET4
COX11,FHL1
COX11,IFH1
COX11,RAP1
COX12,CIN5
COX13,HAP2
COX13,STE12
COX14,AFT1
COX15,HAP1
COX16,HAP2
COX17,GCN4
COX20,FHL1
COX20,MSN2
COX4,ADR1
COX6,ABF1
COX6,HAP2
COX6,HAP3
COX6,HAP5
COX6,RTG3
COX7,HAP2
COX8,HAP2
COX9,HAP2
COY1,STE12
CPA1,ARG81
CPA1,GCN4
CPA1,MSN2
CPA1,RAP1
CPA2,GCN4
CPA2,MSN2
CPA2,YAP1
CPR1,ABF1
CPR1,HSF1
CPR1,MSN2
CPR1,RAP1
CPR1,ROX1
CPR1,SKN7
CPR4,MSN2
CPR4,RAP1
CPR5,ABF1
CPR6,HSF1
