tf,relation,substrate
YOX1,regulates,PWP2
GAL4,regulates,YIH1
TEC1,regulates,YCR061W
UME6,regulates,YCR061W
PDR1,regulates,YCR061W
STE12,regulates,YCR061W
HAP1,regulates,YCR061W
STE12,regulates,YCR064C
MSN2,regulates,BUD31
MBP1,regulates,HCM1
FLO8,regulates,HCM1
SWI4,regulates,HCM1
RAP1,regulates,HCM1
STE12,regulates,ATG15
MSN2,regulates,ATG15
RAP1,regulates,ATG15
MSN2,regulates,CPR4
RAP1,regulates,CPR4
RAP1,regulates,PAT1
YRM1,regulates,PAT1
RAP1,regulates,SRB8
RPN4,regulates,AHC2
ABF1,regulates,YCR085W
MSN2,regulates,CSM1
STE12,regulates,ABP1
TYE7,regulates,ABP1
TEC1,regulates,FIG2
STE12,regulates,FIG2
RPN4,regulates,CDC39
GCR2,regulates,OCA4
RTG3,regulates,HMRA2
YHP1,regulates,HMRA2
HAP2,regulates,HMRA2
RAP1,regulates,HMRA2
RAP1,regulates,HMRA1
GAL4,regulates,HMRA1
STE12,regulates,YCR097W_A
PHO2,regulates,GIT1
INO2,regulates,GIT1
PHO4,regulates,GIT1
ABF1,regulates,GIT1
SOK2,regulates,GIT1
MSN2,regulates,GIT1
RAP1,regulates,GIT1
INO4,regulates,GIT1
STE12,regulates,YCR102C
YAP1,regulates,YCR102C
MSN2,regulates,YCR102C
SKO1,regulates,YCR102C
HAL9,regulates,YCR102C
ROX1,regulates,YCR102C
RAP1,regulates,PAU3
TEC1,regulates,ADH7
PUT3,regulates,ADH7
YAP1,regulates,ADH7
YAP1,regulates,RDS1
GAL4,regulates,RDS1
TEC1,regulates,AAD3
RDS1,regulates,AAD3
PHO2,regulates,AAD3
AFT1,regulates,AAD3
SOK2,regulates,AAD3
PDR3,regulates,COS7
STE12,regulates,COS7
CRZ1,regulates,COS7
IXR1,regulates,MPH2
MIG3,regulates,SOR2
1.0,regulates,SOR2
SOK2,regulates,SOR2
RLM1,regulates,SOR2
ROX1,regulates,SOR2
MOT3,regulates,HXT15
ROX1,regulates,HXT15
SOK2,regulates,THI13
YAP1,regulates,AAD4
SOK2,regulates,AAD4
YAP1,regulates,YDL241W
STE12,regulates,LRG1
STE12,regulates,ADY3
YRM1,regulates,ADY3
DAL81,regulates,GUD1
MSN2,regulates,MFG1
ABF1,regulates,SSB1
RAP1,regulates,SSB1
TYE7,regulates,SSB1
TUP1,regulates,YDL228C
MBP1,regulates,Ho
SWI5,regulates,Ho
SWI4,regulates,Ho
STP2,regulates,Ho
ASH1,regulates,Ho
ACE2,regulates,Ho
PHO2,regulates,GCS1
SWI5,regulates,HBT1
CAD1,regulates,HBT1
PDR1,regulates,HBT1
YAP1,regulates,HBT1
RAP1,regulates,CDC13
YAP1,regulates,YDL218W
GCN4,regulates,GDH2
GLN3,regulates,GDH2
GAT1,regulates,GDH2
MSN2,regulates,GDH2
TEC1,regulates,PRR2
YAP6,regulates,PRR2
PDR1,regulates,PRR2
STE12,regulates,PRR2
SOK2,regulates,PRR2
MSN2,regulates,PRR2
AFT1,regulates,NOP6
UGA3,regulates,UGA4
GLN3,regulates,UGA4
GAT1,regulates,UGA4
DAL81,regulates,UGA4
GZF3,regulates,UGA4
DAL80,regulates,UGA4
SOK2,regulates,UGA4
MSN2,regulates,UGA4
YOX1,regulates,CWC2
CIN5,regulates,NHP2
STE12,regulates,HEM3
MSN2,regulates,HEM3
MSN4,regulates,RTN2
CIN5,regulates,RTN2
GCN4,regulates,GGC1
STB5,regulates,GGC1
CBF1,regulates,GGC1
GCN4,regulates,ASF2
MSN2,regulates,SEC31
RAP1,regulates,SEC31
RAP1,regulates,ARF1
IFH1,regulates,RPL35a
SFP1,regulates,RPL35a
RAP1,regulates,RPL35a
CIN5,regulates,RPL35a
ABF1,regulates,UFD2
ABF1,regulates,RBS1
AFT1,regulates,PPH22
TUP1,regulates,VMA1
ARO80,regulates,RPL41a
STE12,regulates,RPL41a
IFH1,regulates,RPL41a
SFP1,regulates,RPL41a
LEU3,regulates,RPL41a
TEC1,regulates,YDL183C
STE12,regulates,YDL183C
YAP1,regulates,YDL183C
PHO4,regulates,INH1
MSN2,regulates,INH1
MSN4,regulates,YDL180W
YAP1,regulates,YDL180W
SWI5,regulates,PCL9
STE12,regulates,DLD2
ARG81,regulates,YDL176W
SWI5,regulates,DLD1
HAP1,regulates,DLD1
MSN2,regulates,DLD1
CAT8,regulates,DLD1
CIN5,regulates,DLD1
MSN2,regulates,PAR32
GCN4,regulates,GLT1
GLN3,regulates,GLT1
HAP2,regulates,GLT1
ABF1,regulates,GLT1
YAP1,regulates,GLT1
MSN2,regulates,GLT1
GCN4,regulates,UGA3
GLN3,regulates,UGA3
DAL81,regulates,UGA3
STE12,regulates,2.0
YAP1,regulates,2.0
MSN2,regulates,2.0
YAP1,regulates,SFA1
YHP1,regulates,NRP1
YAP1,regulates,FAP7
STE12,regulates,YDL163W
SOK2,regulates,DHH1
SOK2,regulates,STE7
YHP1,regulates,CMR1
DAL82,regulates,CLB3
YRM1,regulates,CLB3
GCN4,regulates,MSH5
RPN4,regulates,NOP14
MSN2,regulates,NOP14
RPN4,regulates,RPN5
RPN4,regulates,YDL144C
HIR2,regulates,CCT4
REB1,regulates,RPO21
RAP1,regulates,RPO21
YRM1,regulates,RPO21
ABF1,regulates,RGT2
MSN2,regulates,ARF2
PHD1,regulates,RPL35b
SFP1,regulates,RPL35b
OTU1,regulates,RDI1
STE12,regulates,RDI1
RAP1,regulates,RPL41b
SFP1,regulates,SRF1
MSN2,regulates,CDC53
ABF1,regulates,STF1
IFH1,regulates,RPP1b
SFP1,regulates,RPP1b
MSN2,regulates,RPP1b
RAP1,regulates,RPP1b
STE12,regulates,YDL129W
RFX1,regulates,YDL129W
STE12,regulates,VCX1
RAP1,regulates,VCX1
TEC1,regulates,PCL2
SWI5,regulates,PCL2
SWI4,regulates,PCL2
STE12,regulates,PCL2
ACE2,regulates,PCL2
YOX1,regulates,PCL2
MSN2,regulates,CDC48
RAP1,regulates,CDC48
ABF1,regulates,HNT1
YAP1,regulates,YDL124W
YOX1,regulates,YDL124W
MSN2,regulates,YDL124W
YAP1,regulates,YDL121C
YAP7,regulates,YDL121C
TYE7,regulates,YDL121C
SWI5,regulates,YDL119C
SWI5,regulates,CYK3
SWI5,regulates,YDL114W
CAD1,regulates,TMA17
XBP1,regulates,TMA17
FKH2,regulates,TMA17
MBP1,regulates,DUN1
SWI6,regulates,DUN1
RPN4,regulates,RPN6
CST6,regulates,YDL096C
HSF1,regulates,UBX3
STE12,regulates,RAM1
STE12,regulates,ASM4
ABF1,regulates,NDE2
HAP2,regulates,SUB2
GCR1,regulates,SUB2
YAP5,regulates,RPS16b
CBF1,regulates,RPS16b
IFH1,regulates,RPS16b
SFP1,regulates,RPS16b
RAP1,regulates,RPS16b
FHL1,regulates,RPS16b
IFH1,regulates,RPL13a
SFP1,regulates,RPL13a
RAP1,regulates,RPL13a
ABF1,regulates,RPP1a
RAP1,regulates,RPP1a
THI2,regulates,THI3
OAF1,regulates,MDH3
SFP1,regulates,RXT3
IFH1,regulates,RPL31a
GCR2,regulates,RPL31a
RAP1,regulates,RPL31a
HMS1,regulates,RPL31a
9.0,regulates,RPL31a
FHL1,regulates,YET3
STE12,regulates,YDL071C
ASH1,regulates,YDL071C
YAP1,regulates,YDL071C
ABF1,regulates,BDF2
HAP2,regulates,COX9
HAP4,regulates,COX9
GCN4,regulates,IDP1
LEU3,regulates,IDP1
ABF1,regulates,SYO1
YAP1,regulates,SYO1
PHD1,regulates,RPS29b
ABF1,regulates,RPS29b
IFH1,regulates,RPS29b
SFP1,regulates,RPS29b
RAP1,regulates,RPS29b
SWI5,regulates,TSR1
MET32,regulates,RAD59
MET28,regulates,RAD59
CBF1,regulates,RAD59
MET4,regulates,RAD59
MET31,regulates,RAD59
MBP1,regulates,PSA1
STE12,regulates,PSA1
SKN7,regulates,PSA1
ACE2,regulates,PSA1
SOK2,regulates,PSA1
MSN2,regulates,PSA1
RAP1,regulates,PSA1
GCN4,regulates,MCH1
2.0,regulates,SLC1
CBF1,regulates,LHP1
TYE7,regulates,LHP1
TEC1,regulates,KNH1
